gvkey,datadate,fyear,indfmt,consol,popsrc,datafmt,tic,conm,curcd,fyr,xrd,costat
002403,12/31/2017,2017,INDL,C,D,STD,BMY,BRISTOL-MYERS SQUIBB CO,USD,12,6411.0000,A
002403,12/31/2018,2018,INDL,C,D,STD,BMY,BRISTOL-MYERS SQUIBB CO,USD,12,6345.0000,A
002403,12/31/2019,2019,INDL,C,D,STD,BMY,BRISTOL-MYERS SQUIBB CO,USD,12,6148.0000,A
002403,12/31/2020,2020,INDL,C,D,STD,BMY,BRISTOL-MYERS SQUIBB CO,USD,12,22581.0000,A
002403,12/31/2021,2021,INDL,C,D,STD,BMY,BRISTOL-MYERS SQUIBB CO,USD,12,11354.0000,A
005180,12/31/2017,2017,INDL,C,D,STD,GSK,GSK PLC,USD,12,6055.5800,A
005180,12/31/2018,2018,INDL,C,D,STD,GSK,GSK PLC,USD,12,4961.6290,A
005180,12/31/2019,2019,INDL,C,D,STD,GSK,GSK PLC,USD,12,6049.8590,A
005180,12/31/2020,2020,INDL,C,D,STD,GSK,GSK PLC,USD,12,6845.5940,A
005180,12/31/2021,2021,INDL,C,D,STD,GSK,GSK PLC,USD,12,7146.9400,A
006266,12/31/2017,2017,INDL,C,D,STD,JNJ,JOHNSON & JOHNSON,USD,12,10962.0000,A
006266,12/31/2018,2018,INDL,C,D,STD,JNJ,JOHNSON & JOHNSON,USD,12,11901.0000,A
006266,12/31/2019,2019,INDL,C,D,STD,JNJ,JOHNSON & JOHNSON,USD,12,12245.0000,A
006266,12/31/2020,2020,INDL,C,D,STD,JNJ,JOHNSON & JOHNSON,USD,12,12340.0000,A
006266,12/31/2021,2021,INDL,C,D,STD,JNJ,JOHNSON & JOHNSON,USD,12,15614.0000,A
007257,12/31/2017,2017,INDL,C,D,STD,MRK,MERCK & CO,USD,12,10208.0000,A
007257,12/31/2018,2018,INDL,C,D,STD,MRK,MERCK & CO,USD,12,9752.0000,A
007257,12/31/2019,2019,INDL,C,D,STD,MRK,MERCK & CO,USD,12,9872.0000,A
007257,12/31/2020,2020,INDL,C,D,STD,MRK,MERCK & CO,USD,12,13558.0000,A
007257,12/31/2021,2021,INDL,C,D,STD,MRK,MERCK & CO,USD,12,12245.0000,A
008530,12/31/2017,2017,INDL,C,D,STD,PFE,PFIZER INC,USD,12,7657.0000,A
008530,12/31/2018,2018,INDL,C,D,STD,PFE,PFIZER INC,USD,12,8220.0000,A
008530,12/31/2019,2019,INDL,C,D,STD,PFE,PFIZER INC,USD,12,8781.0000,A
008530,12/31/2020,2020,INDL,C,D,STD,PFE,PFIZER INC,USD,12,10305.0000,A
008530,12/31/2021,2021,INDL,C,D,STD,PFE,PFIZER INC,USD,12,16069.0000,A
